Country,Year,Attack Type,Target Industry,Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Unified_Attack_Category,Unified_Industry,Continent,Nation_Wealth,West_or_East,Pandemic_Era,Is_Leap_Year
Japan,2024,Man-in-the-Middle,IT,358626,Unknown,Weak Passwords,VPN,26,Hacking/Intrusion,Technology,Asia,High Income,Eastern,Post-Pandemic,True
Japan,2017,Man-in-the-Middle,Healthcare,64472,Insider,Social Engineering,Firewall,43,Hacking/Intrusion,Healthcare,Asia,High Income,Eastern,Pre-Pandemic,False
India,2023,DDoS,Education,23683,Hacker Group,Weak Passwords,Encryption,69,Hacking/Intrusion,Education,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
USA,2017,Man-in-the-Middle,IT,22635,Unknown,Unpatched Software,AI-based Detection,8,Hacking/Intrusion,Technology,North America,High Income,Western,Pre-Pandemic,False
UK,2017,SQL Injection,Government,894933,Insider,Weak Passwords,Antivirus,59,Hacking/Intrusion,Government,Europe,High Income,Western,Pre-Pandemic,False
UK,2023,Malware,Banking,259176,Unknown,Unpatched Software,VPN,3,Malware,Finance,Europe,High Income,Western,Post-Pandemic,False
China,2022,Man-in-the-Middle,Banking,987115,Unknown,Social Engineering,Encryption,55,Hacking/Intrusion,Finance,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
France,2022,DDoS,Healthcare,727601,Insider,Social Engineering,Encryption,50,Hacking/Intrusion,Healthcare,Europe,High Income,Western,Post-Pandemic,False
UK,2021,Phishing,Retail,542850,Nation-state,Zero-day,Antivirus,41,Social Engineering,Retail,Europe,High Income,Western,Post-Pandemic,False
India,2023,Ransomware,Education,352194,Nation-state,Unpatched Software,Firewall,10,Malware,Education,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
France,2019,Malware,Healthcare,571521,Nation-state,Weak Passwords,Antivirus,8,Malware,Healthcare,Europe,High Income,Western,Pre-Pandemic,False
Brazil,2023,SQL Injection,Healthcare,933271,Insider,Unpatched Software,Antivirus,30,Hacking/Intrusion,Healthcare,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Brazil,2022,Phishing,Banking,884502,Insider,Unpatched Software,AI-based Detection,55,Social Engineering,Finance,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
China,2015,Ransomware,IT,762001,Nation-state,Social Engineering,VPN,67,Malware,Technology,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
France,2016,DDoS,Government,351330,Nation-state,Weak Passwords,VPN,57,Hacking/Intrusion,Government,Europe,High Income,Western,Pre-Pandemic,True
Australia,2023,Malware,Healthcare,158107,Unknown,Unpatched Software,AI-based Detection,43,Malware,Healthcare,Oceania,High Income,Western,Post-Pandemic,False
USA,2016,SQL Injection,Government,632319,Unknown,Weak Passwords,AI-based Detection,47,Hacking/Intrusion,Government,North America,High Income,Western,Pre-Pandemic,True
India,2017,DDoS,Government,352250,Insider,Zero-day,VPN,39,Hacking/Intrusion,Government,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
France,2018,Ransomware,Telecommunications,504165,Hacker Group,Zero-day,AI-based Detection,55,Malware,Telecommunications,Europe,High Income,Western,Pre-Pandemic,False
Brazil,2024,DDoS,Telecommunications,738981,Unknown,Social Engineering,VPN,45,Hacking/Intrusion,Telecommunications,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
UK,2021,Ransomware,Banking,555527,Unknown,Unpatched Software,Firewall,33,Malware,Finance,Europe,High Income,Western,Post-Pandemic,False
Russia,2019,SQL Injection,Banking,681856,Insider,Zero-day,VPN,52,Hacking/Intrusion,Finance,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
Germany,2024,DDoS,Retail,197609,Nation-state,Social Engineering,VPN,15,Hacking/Intrusion,Retail,Europe,High Income,Western,Post-Pandemic,True
USA,2018,Man-in-the-Middle,Banking,685291,Hacker Group,Social Engineering,Encryption,53,Hacking/Intrusion,Finance,North America,High Income,Western,Pre-Pandemic,False
Japan,2024,Ransomware,Retail,835730,Insider,Zero-day,VPN,14,Malware,Retail,Asia,High Income,Eastern,Post-Pandemic,True
Germany,2016,Phishing,Education,907547,Unknown,Unpatched Software,Firewall,33,Social Engineering,Education,Europe,High Income,Western,Pre-Pandemic,True
France,2019,Phishing,Retail,298096,Unknown,Social Engineering,Firewall,16,Social Engineering,Retail,Europe,High Income,Western,Pre-Pandemic,False
UK,2023,Phishing,Retail,18579,Unknown,Social Engineering,VPN,13,Social Engineering,Retail,Europe,High Income,Western,Post-Pandemic,False
UK,2021,Malware,Education,490771,Nation-state,Weak Passwords,Antivirus,70,Malware,Education,Europe,High Income,Western,Post-Pandemic,False
Germany,2020,Phishing,Healthcare,394577,Nation-state,Unpatched Software,Encryption,33,Social Engineering,Healthcare,Europe,High Income,Western,Post-Pandemic,True
India,2021,DDoS,Telecommunications,155426,Nation-state,Zero-day,Firewall,16,Hacking/Intrusion,Telecommunications,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
Russia,2017,Ransomware,Education,444399,Insider,Zero-day,Encryption,38,Malware,Education,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
Japan,2015,Man-in-the-Middle,Healthcare,770028,Unknown,Unpatched Software,Firewall,58,Hacking/Intrusion,Healthcare,Asia,High Income,Eastern,Pre-Pandemic,False
Brazil,2023,Ransomware,Retail,608520,Hacker Group,Zero-day,VPN,14,Malware,Retail,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Australia,2020,DDoS,Healthcare,471113,Hacker Group,Unpatched Software,AI-based Detection,71,Hacking/Intrusion,Healthcare,Oceania,High Income,Western,Post-Pandemic,True
Germany,2015,Man-in-the-Middle,Retail,311253,Nation-state,Weak Passwords,AI-based Detection,36,Hacking/Intrusion,Retail,Europe,High Income,Western,Pre-Pandemic,False
Brazil,2023,DDoS,IT,390409,Insider,Zero-day,AI-based Detection,31,Hacking/Intrusion,Technology,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
China,2015,SQL Injection,IT,604786,Unknown,Zero-day,VPN,34,Hacking/Intrusion,Technology,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
China,2024,SQL Injection,Government,568377,Unknown,Social Engineering,Antivirus,38,Hacking/Intrusion,Government,Asia,Upper-Middle Income,Eastern,Post-Pandemic,True
Russia,2020,SQL Injection,Telecommunications,267678,Insider,Zero-day,AI-based Detection,13,Hacking/Intrusion,Telecommunications,Europe,Upper-Middle Income,Eastern,Post-Pandemic,True
Australia,2020,Malware,Education,592485,Insider,Weak Passwords,Firewall,10,Malware,Education,Oceania,High Income,Western,Post-Pandemic,True
USA,2018,DDoS,Government,639011,Insider,Weak Passwords,Firewall,26,Hacking/Intrusion,Government,North America,High Income,Western,Pre-Pandemic,False
China,2023,Man-in-the-Middle,Telecommunications,446243,Unknown,Zero-day,Firewall,66,Hacking/Intrusion,Telecommunications,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
Germany,2016,DDoS,Government,10438,Nation-state,Unpatched Software,Encryption,10,Hacking/Intrusion,Government,Europe,High Income,Western,Pre-Pandemic,True
Brazil,2023,SQL Injection,IT,796195,Nation-state,Social Engineering,Firewall,20,Hacking/Intrusion,Technology,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Australia,2020,SQL Injection,Telecommunications,55392,Unknown,Zero-day,VPN,44,Hacking/Intrusion,Telecommunications,Oceania,High Income,Western,Post-Pandemic,True
Germany,2016,DDoS,IT,579291,Hacker Group,Unpatched Software,Encryption,6,Hacking/Intrusion,Technology,Europe,High Income,Western,Pre-Pandemic,True
Germany,2023,Malware,Banking,791366,Unknown,Unpatched Software,Firewall,61,Malware,Finance,Europe,High Income,Western,Post-Pandemic,False
France,2022,Malware,IT,727826,Unknown,Weak Passwords,Encryption,63,Malware,Technology,Europe,High Income,Western,Post-Pandemic,False
Russia,2023,Malware,IT,608695,Nation-state,Unpatched Software,AI-based Detection,31,Malware,Technology,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
Australia,2019,SQL Injection,Retail,496667,Unknown,Zero-day,Antivirus,45,Hacking/Intrusion,Retail,Oceania,High Income,Western,Pre-Pandemic,False
Japan,2024,Malware,Retail,353887,Unknown,Weak Passwords,Antivirus,59,Malware,Retail,Asia,High Income,Eastern,Post-Pandemic,True
China,2019,Ransomware,Banking,713584,Insider,Weak Passwords,Firewall,26,Malware,Finance,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
India,2017,DDoS,IT,417831,Unknown,Unpatched Software,Encryption,36,Hacking/Intrusion,Technology,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
USA,2019,Ransomware,Banking,51219,Unknown,Zero-day,Encryption,36,Malware,Finance,North America,High Income,Western,Pre-Pandemic,False
UK,2017,Ransomware,Retail,153257,Insider,Zero-day,Encryption,59,Malware,Retail,Europe,High Income,Western,Pre-Pandemic,False
Russia,2017,Phishing,Retail,768022,Unknown,Zero-day,VPN,64,Social Engineering,Retail,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
France,2024,Phishing,Banking,314347,Hacker Group,Unpatched Software,Antivirus,28,Social Engineering,Finance,Europe,High Income,Western,Post-Pandemic,True
Germany,2020,Phishing,IT,649406,Insider,Social Engineering,Firewall,27,Social Engineering,Technology,Europe,High Income,Western,Post-Pandemic,True
Japan,2023,Phishing,Education,744595,Insider,Zero-day,Antivirus,44,Social Engineering,Education,Asia,High Income,Eastern,Post-Pandemic,False
Brazil,2021,DDoS,Banking,126781,Insider,Weak Passwords,Antivirus,32,Hacking/Intrusion,Finance,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
France,2015,Phishing,Retail,427167,Insider,Unpatched Software,Encryption,11,Social Engineering,Retail,Europe,High Income,Western,Pre-Pandemic,False
Australia,2023,Ransomware,Retail,396865,Insider,Social Engineering,AI-based Detection,42,Malware,Retail,Oceania,High Income,Western,Post-Pandemic,False
UK,2019,Phishing,Telecommunications,902952,Unknown,Weak Passwords,Encryption,8,Social Engineering,Telecommunications,Europe,High Income,Western,Pre-Pandemic,False
USA,2023,Ransomware,IT,632075,Insider,Social Engineering,Encryption,64,Malware,Technology,North America,High Income,Western,Post-Pandemic,False
France,2017,SQL Injection,Healthcare,728486,Nation-state,Social Engineering,Encryption,61,Hacking/Intrusion,Healthcare,Europe,High Income,Western,Pre-Pandemic,False
Australia,2018,DDoS,Education,109439,Insider,Zero-day,Antivirus,32,Hacking/Intrusion,Education,Oceania,High Income,Western,Pre-Pandemic,False
India,2018,Malware,Education,1174,Insider,Weak Passwords,VPN,23,Malware,Education,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
Russia,2024,Phishing,Education,953987,Insider,Social Engineering,AI-based Detection,65,Social Engineering,Education,Europe,Upper-Middle Income,Eastern,Post-Pandemic,True
Brazil,2021,DDoS,Government,713309,Hacker Group,Zero-day,Antivirus,51,Hacking/Intrusion,Government,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Russia,2021,DDoS,Healthcare,334528,Insider,Weak Passwords,VPN,5,Hacking/Intrusion,Healthcare,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
USA,2016,Phishing,IT,219826,Nation-state,Social Engineering,Antivirus,38,Social Engineering,Technology,North America,High Income,Western,Pre-Pandemic,True
USA,2015,SQL Injection,Telecommunications,916744,Nation-state,Social Engineering,Antivirus,47,Hacking/Intrusion,Telecommunications,North America,High Income,Western,Pre-Pandemic,False
USA,2017,Man-in-the-Middle,IT,568560,Hacker Group,Zero-day,AI-based Detection,49,Hacking/Intrusion,Technology,North America,High Income,Western,Pre-Pandemic,False
UK,2019,Malware,Education,440178,Insider,Unpatched Software,VPN,15,Malware,Education,Europe,High Income,Western,Pre-Pandemic,False
Japan,2023,SQL Injection,Healthcare,172628,Insider,Weak Passwords,Encryption,4,Hacking/Intrusion,Healthcare,Asia,High Income,Eastern,Post-Pandemic,False
USA,2022,Ransomware,Government,257989,Unknown,Unpatched Software,AI-based Detection,68,Malware,Government,North America,High Income,Western,Post-Pandemic,False
Japan,2021,Phishing,Healthcare,573560,Hacker Group,Social Engineering,Antivirus,9,Social Engineering,Healthcare,Asia,High Income,Eastern,Post-Pandemic,False
Brazil,2018,Malware,Education,850056,Hacker Group,Weak Passwords,VPN,65,Malware,Education,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
Australia,2018,DDoS,Retail,860119,Nation-state,Unpatched Software,Encryption,30,Hacking/Intrusion,Retail,Oceania,High Income,Western,Pre-Pandemic,False
USA,2015,SQL Injection,Education,140958,Insider,Social Engineering,AI-based Detection,51,Hacking/Intrusion,Education,North America,High Income,Western,Pre-Pandemic,False
China,2015,DDoS,Telecommunications,965727,Nation-state,Zero-day,AI-based Detection,32,Hacking/Intrusion,Telecommunications,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
Russia,2015,Malware,Telecommunications,20269,Unknown,Social Engineering,VPN,36,Malware,Telecommunications,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
Germany,2015,DDoS,Retail,323011,Nation-state,Social Engineering,Encryption,25,Hacking/Intrusion,Retail,Europe,High Income,Western,Pre-Pandemic,False
USA,2016,Ransomware,Retail,50321,Nation-state,Social Engineering,Antivirus,25,Malware,Retail,North America,High Income,Western,Pre-Pandemic,True
Russia,2020,DDoS,Banking,851863,Insider,Weak Passwords,Firewall,25,Hacking/Intrusion,Finance,Europe,Upper-Middle Income,Eastern,Post-Pandemic,True
China,2024,DDoS,IT,704925,Unknown,Unpatched Software,AI-based Detection,52,Hacking/Intrusion,Technology,Asia,Upper-Middle Income,Eastern,Post-Pandemic,True
France,2018,Ransomware,Banking,355077,Nation-state,Unpatched Software,VPN,65,Malware,Finance,Europe,High Income,Western,Pre-Pandemic,False
Australia,2022,Malware,Education,866057,Unknown,Social Engineering,Antivirus,17,Malware,Education,Oceania,High Income,Western,Post-Pandemic,False
Germany,2016,SQL Injection,Telecommunications,169455,Insider,Zero-day,Antivirus,23,Hacking/Intrusion,Telecommunications,Europe,High Income,Western,Pre-Pandemic,True
India,2023,SQL Injection,IT,380022,Unknown,Unpatched Software,Encryption,30,Hacking/Intrusion,Technology,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
USA,2019,SQL Injection,Retail,898679,Insider,Zero-day,Firewall,35,Hacking/Intrusion,Retail,North America,High Income,Western,Pre-Pandemic,False
Japan,2020,Ransomware,IT,704157,Unknown,Zero-day,Antivirus,42,Malware,Technology,Asia,High Income,Eastern,Post-Pandemic,True
Russia,2022,Malware,Telecommunications,262201,Nation-state,Weak Passwords,Encryption,54,Malware,Telecommunications,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
Brazil,2021,DDoS,Telecommunications,683261,Hacker Group,Unpatched Software,Antivirus,13,Hacking/Intrusion,Telecommunications,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
USA,2022,Phishing,IT,382379,Nation-state,Unpatched Software,Firewall,2,Social Engineering,Technology,North America,High Income,Western,Post-Pandemic,False
Germany,2024,Phishing,Government,510657,Nation-state,Social Engineering,VPN,62,Social Engineering,Government,Europe,High Income,Western,Post-Pandemic,True
UK,2018,SQL Injection,Education,912558,Nation-state,Unpatched Software,Antivirus,69,Hacking/Intrusion,Education,Europe,High Income,Western,Pre-Pandemic,False
UK,2020,Ransomware,Banking,952504,Hacker Group,Zero-day,AI-based Detection,45,Malware,Finance,Europe,High Income,Western,Post-Pandemic,True
France,2015,Phishing,Government,913027,Insider,Unpatched Software,Antivirus,68,Social Engineering,Government,Europe,High Income,Western,Pre-Pandemic,False
Brazil,2019,Malware,Government,269271,Insider,Unpatched Software,Antivirus,58,Malware,Government,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
India,2016,Ransomware,Healthcare,113404,Hacker Group,Social Engineering,Antivirus,11,Malware,Healthcare,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,True
Russia,2023,DDoS,Healthcare,310868,Hacker Group,Weak Passwords,Antivirus,10,Hacking/Intrusion,Healthcare,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
Japan,2024,Man-in-the-Middle,Telecommunications,458630,Insider,Social Engineering,Antivirus,14,Hacking/Intrusion,Telecommunications,Asia,High Income,Eastern,Post-Pandemic,True
USA,2024,Ransomware,IT,912183,Unknown,Weak Passwords,Encryption,44,Malware,Technology,North America,High Income,Western,Post-Pandemic,True
Brazil,2017,Man-in-the-Middle,IT,871891,Unknown,Social Engineering,Antivirus,52,Hacking/Intrusion,Technology,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
USA,2016,SQL Injection,Government,863298,Nation-state,Unpatched Software,VPN,15,Hacking/Intrusion,Government,North America,High Income,Western,Pre-Pandemic,True
Australia,2018,Malware,Healthcare,434626,Unknown,Social Engineering,AI-based Detection,29,Malware,Healthcare,Oceania,High Income,Western,Pre-Pandemic,False
Australia,2018,Ransomware,IT,195490,Unknown,Zero-day,Antivirus,63,Malware,Technology,Oceania,High Income,Western,Pre-Pandemic,False
UK,2022,Ransomware,Retail,19404,Nation-state,Unpatched Software,Firewall,32,Malware,Retail,Europe,High Income,Western,Post-Pandemic,False
Russia,2019,Ransomware,Healthcare,217438,Hacker Group,Social Engineering,Firewall,14,Malware,Healthcare,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
India,2018,Malware,Healthcare,481452,Unknown,Weak Passwords,AI-based Detection,57,Malware,Healthcare,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
UK,2020,SQL Injection,Education,386093,Unknown,Unpatched Software,VPN,42,Hacking/Intrusion,Education,Europe,High Income,Western,Post-Pandemic,True
France,2019,Man-in-the-Middle,Banking,929020,Nation-state,Weak Passwords,Antivirus,2,Hacking/Intrusion,Finance,Europe,High Income,Western,Pre-Pandemic,False
USA,2022,Malware,IT,863756,Nation-state,Unpatched Software,AI-based Detection,66,Malware,Technology,North America,High Income,Western,Post-Pandemic,False
China,2018,Ransomware,Telecommunications,300898,Nation-state,Unpatched Software,Encryption,18,Malware,Telecommunications,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
Japan,2017,SQL Injection,Healthcare,191328,Insider,Weak Passwords,Encryption,51,Hacking/Intrusion,Healthcare,Asia,High Income,Eastern,Pre-Pandemic,False
Germany,2021,Man-in-the-Middle,Banking,361849,Hacker Group,Zero-day,Firewall,63,Hacking/Intrusion,Finance,Europe,High Income,Western,Post-Pandemic,False
Brazil,2016,Phishing,Retail,30884,Nation-state,Unpatched Software,Antivirus,26,Social Engineering,Retail,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,True
Brazil,2024,Ransomware,IT,902924,Unknown,Social Engineering,Encryption,12,Malware,Technology,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
Brazil,2024,Man-in-the-Middle,Telecommunications,943178,Nation-state,Weak Passwords,VPN,63,Hacking/Intrusion,Telecommunications,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
Australia,2021,SQL Injection,Telecommunications,994468,Insider,Unpatched Software,Antivirus,8,Hacking/Intrusion,Telecommunications,Oceania,High Income,Western,Post-Pandemic,False
China,2022,Phishing,Retail,131361,Insider,Weak Passwords,Firewall,39,Social Engineering,Retail,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
China,2023,Malware,Telecommunications,237658,Unknown,Zero-day,Antivirus,26,Malware,Telecommunications,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
USA,2017,Ransomware,Banking,157313,Hacker Group,Unpatched Software,Antivirus,47,Malware,Finance,North America,High Income,Western,Pre-Pandemic,False
UK,2021,Man-in-the-Middle,Education,414340,Insider,Unpatched Software,AI-based Detection,10,Hacking/Intrusion,Education,Europe,High Income,Western,Post-Pandemic,False
France,2020,DDoS,Healthcare,153523,Insider,Social Engineering,Encryption,22,Hacking/Intrusion,Healthcare,Europe,High Income,Western,Post-Pandemic,True
UK,2019,Phishing,IT,232665,Unknown,Social Engineering,AI-based Detection,65,Social Engineering,Technology,Europe,High Income,Western,Pre-Pandemic,False
Germany,2022,Phishing,Government,383945,Nation-state,Zero-day,Encryption,49,Social Engineering,Government,Europe,High Income,Western,Post-Pandemic,False
Brazil,2023,Ransomware,Government,762006,Unknown,Weak Passwords,Antivirus,21,Malware,Government,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Germany,2019,SQL Injection,Government,408103,Nation-state,Unpatched Software,Firewall,27,Hacking/Intrusion,Government,Europe,High Income,Western,Pre-Pandemic,False
France,2022,Phishing,Healthcare,44837,Unknown,Zero-day,AI-based Detection,18,Social Engineering,Healthcare,Europe,High Income,Western,Post-Pandemic,False
Germany,2023,DDoS,Telecommunications,642699,Unknown,Social Engineering,Firewall,51,Hacking/Intrusion,Telecommunications,Europe,High Income,Western,Post-Pandemic,False
UK,2021,Ransomware,Telecommunications,634820,Insider,Unpatched Software,Encryption,33,Malware,Telecommunications,Europe,High Income,Western,Post-Pandemic,False
France,2021,Malware,Retail,887718,Insider,Zero-day,Antivirus,55,Malware,Retail,Europe,High Income,Western,Post-Pandemic,False
USA,2020,DDoS,Education,541631,Unknown,Zero-day,AI-based Detection,30,Hacking/Intrusion,Education,North America,High Income,Western,Post-Pandemic,True
USA,2016,Ransomware,Retail,523522,Unknown,Weak Passwords,Encryption,57,Malware,Retail,North America,High Income,Western,Pre-Pandemic,True
Russia,2021,DDoS,Government,686309,Unknown,Unpatched Software,Antivirus,42,Hacking/Intrusion,Government,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
India,2015,Man-in-the-Middle,Education,416328,Nation-state,Zero-day,Encryption,55,Hacking/Intrusion,Education,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
India,2021,Man-in-the-Middle,IT,582718,Hacker Group,Social Engineering,Encryption,20,Hacking/Intrusion,Technology,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
Japan,2021,Man-in-the-Middle,Telecommunications,549640,Nation-state,Social Engineering,Encryption,17,Hacking/Intrusion,Telecommunications,Asia,High Income,Eastern,Post-Pandemic,False
USA,2024,DDoS,Retail,1068,Insider,Social Engineering,Firewall,3,Hacking/Intrusion,Retail,North America,High Income,Western,Post-Pandemic,True
France,2018,DDoS,Telecommunications,959835,Unknown,Zero-day,Firewall,38,Hacking/Intrusion,Telecommunications,Europe,High Income,Western,Pre-Pandemic,False
USA,2024,Ransomware,Retail,227390,Insider,Weak Passwords,AI-based Detection,40,Malware,Retail,North America,High Income,Western,Post-Pandemic,True
France,2021,SQL Injection,Banking,577763,Insider,Zero-day,AI-based Detection,43,Hacking/Intrusion,Finance,Europe,High Income,Western,Post-Pandemic,False
Japan,2018,SQL Injection,Healthcare,786644,Nation-state,Unpatched Software,Antivirus,41,Hacking/Intrusion,Healthcare,Asia,High Income,Eastern,Pre-Pandemic,False
China,2016,Malware,Healthcare,454802,Insider,Unpatched Software,Antivirus,48,Malware,Healthcare,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,True
China,2024,DDoS,Healthcare,371685,Unknown,Social Engineering,VPN,34,Hacking/Intrusion,Healthcare,Asia,Upper-Middle Income,Eastern,Post-Pandemic,True
India,2023,Ransomware,Retail,217534,Unknown,Unpatched Software,VPN,48,Malware,Retail,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
Australia,2024,Man-in-the-Middle,Telecommunications,376612,Nation-state,Unpatched Software,VPN,27,Hacking/Intrusion,Telecommunications,Oceania,High Income,Western,Post-Pandemic,True
UK,2020,Phishing,Banking,812206,Hacker Group,Unpatched Software,Encryption,39,Social Engineering,Finance,Europe,High Income,Western,Post-Pandemic,True
Australia,2021,Man-in-the-Middle,Banking,255967,Unknown,Social Engineering,VPN,23,Hacking/Intrusion,Finance,Oceania,High Income,Western,Post-Pandemic,False
USA,2023,DDoS,Healthcare,463332,Unknown,Weak Passwords,Encryption,16,Hacking/Intrusion,Healthcare,North America,High Income,Western,Post-Pandemic,False
Australia,2023,DDoS,IT,771547,Hacker Group,Zero-day,Antivirus,5,Hacking/Intrusion,Technology,Oceania,High Income,Western,Post-Pandemic,False
UK,2020,DDoS,Retail,809209,Unknown,Social Engineering,Encryption,26,Hacking/Intrusion,Retail,Europe,High Income,Western,Post-Pandemic,True
India,2024,DDoS,Retail,342575,Insider,Social Engineering,Firewall,49,Hacking/Intrusion,Retail,Asia,Lower-Middle Income,Eastern,Post-Pandemic,True
Japan,2024,Phishing,Retail,478963,Insider,Zero-day,VPN,70,Social Engineering,Retail,Asia,High Income,Eastern,Post-Pandemic,True
USA,2017,SQL Injection,Banking,910393,Unknown,Weak Passwords,Antivirus,52,Hacking/Intrusion,Finance,North America,High Income,Western,Pre-Pandemic,False
Australia,2024,Phishing,Banking,601198,Insider,Zero-day,Encryption,41,Social Engineering,Finance,Oceania,High Income,Western,Post-Pandemic,True
UK,2018,Ransomware,Government,152302,Hacker Group,Social Engineering,AI-based Detection,26,Malware,Government,Europe,High Income,Western,Pre-Pandemic,False
USA,2016,SQL Injection,Healthcare,79102,Nation-state,Zero-day,AI-based Detection,4,Hacking/Intrusion,Healthcare,North America,High Income,Western,Pre-Pandemic,True
India,2017,Ransomware,Retail,837506,Nation-state,Zero-day,Antivirus,8,Malware,Retail,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
Germany,2018,Malware,Banking,347441,Hacker Group,Social Engineering,Firewall,58,Malware,Finance,Europe,High Income,Western,Pre-Pandemic,False
USA,2021,Ransomware,Telecommunications,231198,Insider,Unpatched Software,Encryption,42,Malware,Telecommunications,North America,High Income,Western,Post-Pandemic,False
Brazil,2016,DDoS,Government,555275,Unknown,Social Engineering,Antivirus,71,Hacking/Intrusion,Government,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,True
UK,2016,SQL Injection,Retail,46699,Unknown,Zero-day,Antivirus,53,Hacking/Intrusion,Retail,Europe,High Income,Western,Pre-Pandemic,True
UK,2024,Man-in-the-Middle,IT,706469,Unknown,Unpatched Software,Encryption,17,Hacking/Intrusion,Technology,Europe,High Income,Western,Post-Pandemic,True
China,2018,Ransomware,IT,311165,Unknown,Social Engineering,AI-based Detection,34,Malware,Technology,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
France,2019,SQL Injection,Government,304257,Nation-state,Weak Passwords,Antivirus,20,Hacking/Intrusion,Government,Europe,High Income,Western,Pre-Pandemic,False
Brazil,2017,SQL Injection,Telecommunications,446378,Insider,Unpatched Software,Antivirus,59,Hacking/Intrusion,Telecommunications,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
China,2021,Ransomware,Healthcare,994243,Hacker Group,Social Engineering,Firewall,54,Malware,Healthcare,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
UK,2015,Phishing,Healthcare,98634,Unknown,Social Engineering,VPN,5,Social Engineering,Healthcare,Europe,High Income,Western,Pre-Pandemic,False
USA,2018,Phishing,Telecommunications,93999,Nation-state,Social Engineering,Encryption,65,Social Engineering,Telecommunications,North America,High Income,Western,Pre-Pandemic,False
France,2017,SQL Injection,Education,171095,Hacker Group,Zero-day,AI-based Detection,63,Hacking/Intrusion,Education,Europe,High Income,Western,Pre-Pandemic,False
USA,2015,Man-in-the-Middle,IT,820182,Nation-state,Weak Passwords,Antivirus,16,Hacking/Intrusion,Technology,North America,High Income,Western,Pre-Pandemic,False
Germany,2018,SQL Injection,Telecommunications,164890,Insider,Weak Passwords,Encryption,61,Hacking/Intrusion,Telecommunications,Europe,High Income,Western,Pre-Pandemic,False
China,2015,SQL Injection,Telecommunications,605020,Insider,Unpatched Software,Antivirus,43,Hacking/Intrusion,Telecommunications,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
